Id;Time;Time_year;Species;Gear;Catch;Unit;Unit2
OH0213U1;Sasa;2021;Plectorhinchus_gibbus;Spear;10;number;
OH0213U1;Sasa;2021;Octopus;Spear;10;number;
OH0213U1;Sasa;2021;Squids;Spear;30;number;
OH0213U1;Sasa;2021;Anguilliformes;Spear;5;number;
OH0213U1;Sasa;2021;Mullidae;Spear;3;number;
OH0213U1;Sasa;2021;Scarus_ghobban;Spear;3;number;
OH0213U1;Sasa;2021;Acanthurus_spp;Spear;1;number;
OH0213U1;Kati_kati;1996;Plectorhinchus_gibbus;Spear;none;none;
OH0213U1;Kati_kati;1996;Octopus;Spear;none;none;
OH0213U1;Kati_kati;1996;Squids;Spear;none;none;
OH0213U1;Kati_kati;1996;Anguilliformes;Spear;none;none;
OH0213U1;Kati_kati;1996;Mullidae;Spear;none;none;
OH0213U1;Kati_kati;1996;Scarus_ghobban;Spear;none;none;
OH0213U1;Kati_kati;1996;Acanthurus_spp;Spear;none;none;
OH0213U1;Aliopanza;1971;Plectorhinchus_gibbus;Spear;50;number;
OH0213U1;Aliopanza;1971;Octopus;Spear;40;number;
OH0213U1;Aliopanza;1971;Squids;Spear;40;number;
OH0213U1;Aliopanza;1971;Anguilliformes;Spear;15;number;
OH0213U1;Aliopanza;1971;Mullidae;Spear;10;number;
OH0213U1;Aliopanza;1971;Scarus_ghobban;Spear;8;number;
OH0213U1;Aliopanza;1971;Acanthurus_spp;Spear;4;number;
OH0213U2;Sasa;2021;Carangidae;Handline;5;number;
OH0213U2;Sasa;2021;Lutjanus_fulviflamma;Handline;3;number;
OH0213U2;Sasa;2021;Serranidae;Handline;1;number;
OH0213U2;Sasa;2021;Sphyraenidae;Handline;3;number;
OH0213U2;Kati_kati;2011;Carangidae;Handline;none;none;
OH0213U2;Kati_kati;2011;Lutjanus_fulviflamma;Handline;none;none;
OH0213U2;Kati_kati;2011;Serranidae;Handline;none;none;
OH0213U2;Kati_kati;2011;Sphyraenidae;Handline;none;none;
OH0213U2;Aliopanza;2001;Carangidae;Handline;15;number;
OH0213U2;Aliopanza;2001;Lutjanus_fulviflamma;Handline;8;number;
OH0213U2;Aliopanza;2001;Serranidae;Handline;18;number;
OH0213U2;Aliopanza;2001;Sphyraenidae;Handline;20;number;
OH0213U3;Sasa;2021;Lethrinus_mahsena;Floatnet;360;number;
OH0213U3;Sasa;2021;Lethrinus_harak;Floatnet;360;number;
OH0213U3;Kati_kati;1996;Lethrinus_mahsena;Floatnet;none;none;
OH0213U3;Kati_kati;1996;Lethrinus_harak;Floatnet;none;none;
OH0213U3;Aliopanza;1971;Lethrinus_mahsena;Floatnet;900;number;
OH0213U3;Aliopanza;1971;Lethrinus_harak;Floatnet;900;number;
OH0213U4;Sasa;2021;Octopus;Spear;5;number;
OH0213U4;Sasa;2021;Anguilliformes;Spear;2;number;
OH0213U4;Sasa;2021;Crabs_Lobsters;Spear;7;number;
OH0213U4;Sasa;2021;Plectorhinchus_gibbus;Spear;13;number;
OH0213U4;Sasa;2021;Acanthurus_spp;Spear;3;number;
OH0213U4;Sasa;2021;Plectorhinchus_gaterinus;Spear;20;number;
OH0213U4;Sasa;2021;Scarus_ghobban;Spear;10;number;
OH0213U4;Sasa;2021;Plectorhinchus_gibbus;Spear;10;number;
OH0213U4;Sasa;2021;Kyphosidae;Spear;5;number;
OH0213U4;Sasa;2021;Diodontidae;Spear;3;number;
OH0213U4;Kati_kati;2012.5;Octopus;Spear;none;none;
OH0213U4;Kati_kati;2012.5;Anguilliformes;Spear;none;none;
OH0213U4;Kati_kati;2012.5;Crabs_Lobsters;Spear;none;none;
OH0213U4;Kati_kati;2012.5;Plectorhinchus_gibbus;Spear;none;none;
OH0213U4;Kati_kati;2012.5;Acanthurus_spp;Spear;none;none;
OH0213U4;Kati_kati;2012.5;Plectorhinchus_gaterinus;Spear;none;none;
OH0213U4;Kati_kati;2012.5;Scarus_ghobban;Spear;none;none;
OH0213U4;Kati_kati;2012.5;Plectorhinchus_gibbus;Spear;none;none;
OH0213U4;Kati_kati;2012.5;Kyphosidae;Spear;none;none;
OH0213U4;Kati_kati;2012.5;Diodontidae;Spear;none;none;
OH0213U4;Aliopanza;2004;Octopus;Spear;20;number;
OH0213U4;Aliopanza;2004;Anguilliformes;Spear;20;number;
OH0213U4;Aliopanza;2004;Crabs_Lobsters;Spear;7;number;
OH0213U4;Aliopanza;2004;Plectorhinchus_gibbus;Spear;20;number;
OH0213U4;Aliopanza;2004;Acanthurus_spp;Spear;20;number;
OH0213U4;Aliopanza;2004;Plectorhinchus_gaterinus;Spear;50;number;
OH0213U4;Aliopanza;2004;Scarus_ghobban;Spear;25;number;
OH0213U4;Aliopanza;2004;Kyphosidae;Spear;10;number;
OH0213U4;Aliopanza;2004;Kyphosidae;Spear;7;number;
OH0213U4;Aliopanza;2004;Diodontidae;Spear;30;number;
OH0213U5;Sasa;2021;Octopus;Spear;40;number;
OH0213U5;Sasa;2021;Anguilliformes;Spear;20;number;
OH0213U5;Kati_kati;1998.5;Octopus;Spear;none;none;
OH0213U5;Kati_kati;1998.5;Anguilliformes;Spear;none;none;
OH0213U5;Aliopanza;1976;Octopus;Spear;8;number;
OH0213U5;Aliopanza;1976;Anguilliformes;Spear;2;number;
OH0214C6;Sasa;2021;Lethrinus_harak;Dragnet;300;number;
OH0214C6;Sasa;2021;Siganus_stellatus;Dragnet;300;number;
OH0214C6;Sasa;2021;Acanthurus_spp;Dragnet;700;number;
OH0214C6;Sasa;2021;Squids;Dragnet;50;number;
OH0214C6;Sasa;2021;Lethrinus_lentjan;Dragnet;200;number;
OH0214C6;Sasa;2021;Lutjanus_fulviflamma;Dragnet;100;number;
OH0214C6;Sasa;2021;Mugilidae;Dragnet;150;number;
OH0214C6;Kati_kati;2017.5;Lethrinus_harak;Dragnet;none;none;
OH0214C6;Kati_kati;2017.5;Siganus_stellatus;Dragnet;none;none;
OH0214C6;Kati_kati;2017.5;Acanthurus_spp;Dragnet;none;none;
OH0214C6;Kati_kati;2017.5;Squids;Dragnet;none;none;
OH0214C6;Kati_kati;2017.5;Lethrinus_lentjan;Dragnet;none;none;
OH0214C6;Kati_kati;2017.5;Lutjanus_fulviflamma;Dragnet;none;none;
OH0214C6;Kati_kati;2017.5;Mugilidae;Dragnet;none;none;
OH0214C6;Aliopanza;2014;Lethrinus_harak;Dragnet;1000;number;
OH0214C6;Aliopanza;2014;Siganus_sutor;Dragnet;700;number;
OH0214C6;Aliopanza;2014;Acanthurus_spp;Dragnet;700;number;
OH0214C6;Aliopanza;2014;Squids;Dragnet;100;number;
OH0214C6;Aliopanza;2014;Lethrinus_lentjan;Dragnet;500;number;
OH0214C6;Aliopanza;2014;Lutjanus_fulviflamma;Dragnet;550;number;
OH0214C6;Aliopanza;2014;Mugilidae;Dragnet;1500;number;
OH0214C7;Sasa;2021;Octopus;Longline;20;number;
OH0214C7;Sasa;2021;Squids;Longline;70;number;
OH0214C7;Kati_kati;2011;Octopus;Longline;none;none;
OH0214C7;Kati_kati;2011;Squids;Longline;none;none;
OH0214C7;Aliopanza;2001;Octopus;Longline;60;number;
OH0214C7;Aliopanza;2001;Squids;Longline;200;number;
OH0214C8;Sasa;2021;Lethrinus_harak;Dragnet;100;number;
OH0214C8;Sasa;2021;Lutjanus_fulviflamma;Dragnet;40;number;
OH0214C8;Sasa;2021;Lethrinus_lentjan;Dragnet;100;number;
OH0214C8;Sasa;2021;Lethrinus_mahsena;Dragnet;300;number;
OH0214C8;Sasa;2021;Siganus_sutor;Dragnet;90;number;
OH0214C8;Sasa;2021;Leptoscarus_vaigiensis;Dragnet;200;number;
OH0214C8;Kati_kati;2011;Lethrinus_harak;Dragnet;none;none;
OH0214C8;Kati_kati;2011;Lutjanus_fulviflamma;Dragnet;none;none;
OH0214C8;Kati_kati;2011;Lethrinus_lentjan;Dragnet;none;none;
OH0214C8;Kati_kati;2011;Lethrinus_mahsena;Dragnet;none;none;
OH0214C8;Kati_kati;2011;Siganus_sutor;Dragnet;none;none;
OH0214C8;Kati_kati;2011;Leptoscarus_vaigiensis;Dragnet;none;none;
OH0214C8;Aliopanza;2001;Lethrinus_harak;Dragnet;400;number;
OH0214C8;Aliopanza;2001;Lutjanus_fulviflamma;Dragnet;500;number;
OH0214C8;Aliopanza;2001;Lethrinus_lentjan;Dragnet;300;number;
OH0214C8;Aliopanza;2001;Lethrinus_mahsena;Dragnet;300;number;
OH0214C8;Aliopanza;2001;Siganus_sutor;Dragnet;400;number;
OH0214C8;Aliopanza;2001;Leptoscarus_vaigiensis;Dragnet;500;number;
OH0214C9;Sasa;2021;Leptoscarus_vaigiensis;Trap;80;number;
OH0214C9;Sasa;2021;Mullidae;Trap;60;number;
OH0214C9;Sasa;2021;Siganus_sutor;Trap;15;number;
OH0214C9;Sasa;2021;Lethrinus_lentjan;Trap;15;number;
OH0214C9;Sasa;2021;Lutjanus_fulviflamma;Trap;10;number;
OH0214C9;Kati_kati;2008;Leptoscarus_vaigiensis;Trap;none;none;
OH0214C9;Kati_kati;2008;Mullidae;Trap;none;none;
OH0214C9;Kati_kati;2008;Siganus_sutor;Trap;none;none;
OH0214C9;Kati_kati;2008;Lethrinus_lentjan;Trap;none;none;
OH0214C9;Kati_kati;2008;Lutjanus_fulviflamma;Trap;none;none;
OH0214C9;Aliopanza;1995;Leptoscarus_vaigiensis;Trap;200;number;
OH0214C9;Aliopanza;1995;Mullidae;Trap;200;number;
OH0214C9;Aliopanza;1995;Siganus_sutor;Trap;300;number;
OH0214C9;Aliopanza;1995;Lethrinus_lentjan;Trap;100;number;
OH0214C9;Aliopanza;1995;Lutjanus_fulviflamma;Trap;100;number;
OH0214C10;Sasa;2021;Squids;Handline;20;number;
OH0214C10;Kati_kati;2017.5;Squids;Handline;none;none;
OH0214C10;Aliopanza;2014;Squids;Handline;10;number;
OH0220M11;Sasa;2021;Lethrinus_variegatus;Handline;20;number;
OH0220M11;Sasa;2021;Lethrinus_borbonicus;Handline;50;number;
OH0220M11;Sasa;2021;Lethrinus_harak;Handline;10;number;
OH0220M11;Sasa;2021;Lutjanus_fulviflamma;Handline;20;number;
OH0220M11;Sasa;2021;Lethrinus_lentjan;Handline;10;number;
OH0220M11;Kati_kati;2016;Lethrinus_variegatus;Handline;20;number;
OH0220M11;Kati_kati;2016;Lethrinus_borbonicus;Handline;50;number;
OH0220M11;Kati_kati;2016;Lethrinus_harak;Handline;10;number;
OH0220M11;Kati_kati;2016;Lutjanus_fulviflamma;Handline;20;number;
OH0220M11;Kati_kati;2016;Lethrinus_lentjan;Handline;10;number;
OH0220M11;Aliopanza;2011;Lethrinus_variegatus;Handline;100;number;
OH0220M11;Aliopanza;2011;Lethrinus_borbonicus;Handline;150;number;
OH0220M11;Aliopanza;2011;Lethrinus_harak;Handline;30;number;
OH0220M11;Aliopanza;2011;Lutjanus_fulviflamma;Handline;50;number;
OH0220M11;Aliopanza;2011;Lethrinus_lentjan;Handline;20;number;
OH0220M12;Sasa;2021;Siganus_sutor;Trap;200;number;
OH0220M12;Sasa;2021;Mullidae;Trap;80;number;
OH0220M12;Sasa;2021;Lethrinus_lentjan;Trap;200;number;
OH0220M12;Sasa;2021;Lethrinus_mahsena;Trap;100;number;
OH0220M12;Sasa;2021;Scarus_ghobban;Trap;100;number;
OH0220M12;Kati_kati;2006;Siganus_sutor;Trap;500;number;
OH0220M12;Kati_kati;2006;Mullidae;Trap;100;number;
OH0220M12;Kati_kati;2006;Lethrinus_lentjan;Trap;400;number;
OH0220M12;Kati_kati;2006;Lethrinus_mahsena;Trap;400;number;
OH0220M12;Kati_kati;2006;Scarus_ghobban;Trap;300;number;
OH0220M12;Aliopanza;1991;Siganus_sutor;Trap;600;number;
OH0220M12;Aliopanza;1991;Mullidae;Trap;200;number;
OH0220M12;Aliopanza;1991;Lethrinus_lentjan;Trap;600;number;
OH0220M12;Aliopanza;1991;Lethrinus_mahsena;Trap;600;number;
OH0220M12;Aliopanza;1991;Scarus_ghobban;Trap;400;number;
OH0220M13;Sasa;2021;Siganus_sutor;Trap;100;number;
OH0220M13;Sasa;2021;Mullidae;Trap;50;number;
OH0220M13;Sasa;2021;Scarus_ghobban;Trap;5;number;
OH0220M13;Sasa;2021;Lethrinus_lentjan;Trap;8;number;
OH0220M13;Sasa;2021;Lethrinus_mahsena;Trap;80;number;
OH0220M13;Kati_kati;2016;Siganus_sutor;Trap;200;number;
OH0220M13;Kati_kati;2016;Mullidae;Trap;50;number;
OH0220M13;Kati_kati;2016;Scarus_ghobban;Trap;8;number;
OH0220M13;Kati_kati;2016;Lethrinus_lentjan;Trap;8;number;
OH0220M13;Kati_kati;2016;Lethrinus_mahsena;Trap;100;number;
OH0220M13;Aliopanza;2011;Siganus_sutor;Trap;400;number;
OH0220M13;Aliopanza;2011;Mullidae;Trap;70;number;
OH0220M13;Aliopanza;2011;Scarus_ghobban;Trap;10;number;
OH0220M13;Aliopanza;2011;Lethrinus_lentjan;Trap;10;number;
OH0220M13;Aliopanza;2011;Lethrinus_mahsena;Trap;200;number;
OH0220M14;Sasa;2021;Lethrinus_lentjan;Handline;200;number;
OH0220M14;Sasa;2021;Lethrinus_borbonicus;Handline;300;number;
OH0220M14;Sasa;2021;Lethrinus_variegatus;Handline;200;number;
OH0220M14;Sasa;2021;Lutjanus_fulviflamma;Handline;50;number;
OH0220M14;Sasa;2021;Lethrinus_harak;Handline;50;number;
OH0220M14;Sasa;2021;Lethrinus_mahsena;Handline;100;number;
OH0220M14;Sasa;2021;Leptoscarus_vaigiensis;Trap;150;number;
OH0220M14;Sasa;2021;Hipposcarus_harid;Trap;30;number;
OH0220M14;Sasa;2021;Scarus_ghobban;Trap;100;number;
OH0220M14;Sasa;2021;Siganus_sutor;Trap;30;number;
OH0220M14;Kati_kati;2011;Lethrinus_lentjan;Handline;200;number;
OH0220M14;Kati_kati;2011;Lethrinus_borbonicus;Handline;400;number;
OH0220M14;Kati_kati;2011;Lethrinus_variegatus;Handline;300;number;
OH0220M14;Kati_kati;2011;Lutjanus_fulviflamma;Handline;200;number;
OH0220M14;Kati_kati;2011;Lethrinus_harak;Handline;150;number;
OH0220M14;Kati_kati;2011;Lethrinus_mahsena;Handline;200;number;
OH0220M14;Kati_kati;2011;Leptoscarus_vaigiensis;Trap;300;number;
OH0220M14;Kati_kati;2011;Hipposcarus_harid;Trap;50;number;
OH0220M14;Kati_kati;2011;Scarus_ghobban;Trap;100;number;
OH0220M14;Kati_kati;2011;Siganus_sutor;Trap;30;number;
OH0220M14;Aliopanza;2001;Lethrinus_lentjan;Handline;200;number;
OH0220M14;Aliopanza;2001;Lethrinus_borbonicus;Handline;400;number;
OH0220M14;Aliopanza;2001;Lethrinus_variegatus;Handline;300;number;
OH0220M14;Aliopanza;2001;Lutjanus_fulviflamma;Handline;200;number;
OH0220M14;Aliopanza;2001;Lethrinus_harak;Handline;150;number;
OH0220M14;Aliopanza;2001;Lethrinus_mahsena;Handline;200;number;
OH0220M14;Aliopanza;2001;Leptoscarus_vaigiensis;Trap;300;number;
OH0220M14;Aliopanza;2001;Hipposcarus_harid;Trap;50;number;
OH0220M14;Aliopanza;2001;Scarus_ghobban;Trap;100;number;
OH0220M14;Aliopanza;2001;Siganus_sutor;Trap;30;number;
OH0220M15;Sasa;2021;Anguilliformes;Spear;4;number;
OH0220M15;Sasa;2021;Octopus;Spear;4;number;
OH0220M15;Sasa;2021;Squids;Spear;2;number;
OH0220M15;Sasa;2021;Crabs;Spear;10;number;
OH0220M15;Sasa;2021;Lobsters;Spear;1;number;
OH0220M15;Kati_kati;2006;Anguilliformes;Spear;15;number;
OH0220M15;Kati_kati;2006;Octopus;Spear;10;number;
OH0220M15;Kati_kati;2006;Squids;Spear;10;number;
OH0220M15;Kati_kati;2006;Crabs;Spear;20;number;
OH0220M15;Kati_kati;2006;Lobsters;Spear;10;number;
OH0220M15;Aliopanza;1991;Anguilliformes;Spear;20;number;
OH0220M15;Aliopanza;1991;Octopus;Spear;15;number;
OH0220M15;Aliopanza;1991;Squids;Spear;15;number;
OH0220M15;Aliopanza;1991;Crabs;Spear;25;number;
OH0220M15;Aliopanza;1991;Lobsters;Spear;17;number;
OH0221P16;Sasa;2021;Octopus;Spear;6;number;
OH0221P16;Sasa;2021;Anguilliformes;Spear;2;number;
OH0221P16;Kati_kati;1998.5;Octopus;Spear;30;number;
OH0221P16;Kati_kati;1998.5;Anguilliformes;Spear;4;number;
OH0221P16;Aliopanza;1976;Octopus;Spear;50;number;
OH0221P16;Aliopanza;1976;Anguilliformes;Spear;10;number;
OH0221P17;Sasa;2021;Lethrinus_harak;Dragnet;64;number;
OH0221P17;Sasa;2021;Siganus_sutor;Dragnet;22;number;
OH0221P17;Sasa;2021;Mullidae;Dragnet;44;number;
OH0221P17;Sasa;2021;Scarus_ghobban;Dragnet;10;number;
OH0221P17;Sasa;2021;Acanthurus_spp;Dragnet;10;number;
OH0221P17;Sasa;2021;Lutjanus_fulviflamma;Dragnet;22;number;
OH0221P17;Kati_kati;2007;Lethrinus_harak;Dragnet;88;number;
OH0221P17;Kati_kati;2007;Siganus_sutor;Dragnet;44;number;
OH0221P17;Kati_kati;2007;Mullidae;Dragnet;88;number;
OH0221P17;Kati_kati;2007;Scarus_ghobban;Dragnet;44;number;
OH0221P17;Kati_kati;2007;Acanthurus_spp;Dragnet;88;number;
OH0221P17;Kati_kati;2007;Lutjanus_fulviflamma;Dragnet;88;number;
OH0221P17;Aliopanza;1993;Lethrinus_harak;Dragnet;220;number;
OH0221P17;Aliopanza;1993;Siganus_sutor;Dragnet;66;number;
OH0221P17;Aliopanza;1993;Mullidae;Dragnet;176;number;
OH0221P17;Aliopanza;1993;Scarus_ghobban;Dragnet;88;number;
OH0221P17;Aliopanza;1993;Acanthurus_spp;Dragnet;132;number;
OH0221P17;Aliopanza;1993;Lutjanus_fulviflamma;Dragnet;176;number;
OH0221P18;Sasa;2021;Lethrinus_harak;Dragnet;70;number;
OH0221P18;Sasa;2021;Lethrinus_lentjan;Dragnet;100;number;
OH0221P18;Sasa;2021;Siganus_sutor;Dragnet;200;number;
OH0221P18;Sasa;2021;Mullidae;Dragnet;80;number;
OH0221P18;Sasa;2021;Lethrinus_mahsena;Dragnet;300;number;
OH0221P18;Kati_kati;2013;Lethrinus_harak;Dragnet;75;number;
OH0221P18;Kati_kati;2013;Lethrinus_lentjan;Dragnet;100;number;
OH0221P18;Kati_kati;2013;Siganus_sutor;Dragnet;200;number;
OH0221P18;Kati_kati;2013;Mullidae;Dragnet;80;number;
OH0221P18;Kati_kati;2013;Lethrinus_mahsena;Dragnet;300;number;
OH0221P18;Aliopanza;2005;Lethrinus_harak;Dragnet;600;number;
OH0221P18;Aliopanza;2005;Lethrinus_lentjan;Dragnet;800;number;
OH0221P18;Aliopanza;2005;Siganus_sutor;Dragnet;500;number;
OH0221P18;Aliopanza;2005;Mullidae;Dragnet;400;number;
OH0221P18;Aliopanza;2005;Lethrinus_mahsena;Dragnet;700;number;
OH0221P19;Sasa;2021;Lutjanus_fulviflamma;Handline;2;number;
OH0221P19;Sasa;2021;Siganus_sutor;Handline;30;number;
OH0221P19;Sasa;2021;Scarus_ghobban;Handline;3;number;
OH0221P19;Sasa;2021;Squids;Handline;8;number;
OH0221P19;Sasa;2021;Anguilliformes;Handline;4;number;
OH0221P19;Sasa;2021;Balistidae;Handline;6;number;
OH0221P19;Sasa;2021;Lethrinus_mahsena;Handline;20;number;
OH0221P19;Kati_kati;1996;Lutjanus_fulviflamma;Handline;15;number;
OH0221P19;Kati_kati;1996;Siganus_sutor;Handline;50;number;
OH0221P19;Kati_kati;1996;Scarus_ghobban;Handline;9;number;
OH0221P19;Kati_kati;1996;Squids;Handline;15;number;
OH0221P19;Kati_kati;1996;Anguilliformes;Handline;10;number;
OH0221P19;Kati_kati;1996;Balistidae;Handline;15;number;
OH0221P19;Kati_kati;1996;Lethrinus_mahsena;Handline;70;number;
OH0221P19;Aliopanza;1971;Lutjanus_fulviflamma;Handline;25;number;
OH0221P19;Aliopanza;1971;Siganus_sutor;Handline;150;number;
OH0221P19;Aliopanza;1971;Scarus_ghobban;Handline;50;number;
OH0221P19;Aliopanza;1971;Squids;Handline;30;number;
OH0221P19;Aliopanza;1971;Anguilliformes;Handline;15;number;
OH0221P19;Aliopanza;1971;Balistidae;Handline;30;number;
OH0221P19;Aliopanza;1971;Lethrinus_mahsena;Handline;100;number;
OH0221P20;Sasa;2021;Siganus_sutor;Trap;15;number;
OH0221P20;Sasa;2021;Lethrinus_lentjan;Handline;20;number;
OH0221P20;Sasa;2021;Lethrinus_harak;Handline;20;number;
OH0221P20;Kati_kati;2002.5;Siganus_sutor;Trap;100;number;
OH0221P20;Kati_kati;2002.5;Lethrinus_lentjan;Handline;150;number;
OH0221P20;Kati_kati;2002.5;Lethrinus_harak;Handline;200;number;
OH0221P20;Aliopanza;1984;Siganus_sutor;Trap;200;number;
OH0221P20;Aliopanza;1984;Lethrinus_lentjan;Handline;300;number;
OH0221P20;Aliopanza;1984;Lethrinus_harak;Handline;300;number;
NS0213U1;Sasa;2021;Taa_shambi;Gillnet;2;number;
NS0213U1;Kati_kati;2017.5;Taa_shambi;Gillnet;none;none;
NS0213U1;Aliopanza;2014;Taa_shambi;Gillnet;4;number;
NS0213U2;Sasa;2021;TAA UZI;Dragnet;7;mitungo;
NS0213U2;Sasa;2021;Lethrinus_harak;Dragnet;9;mitungo;
NS0213U2;Sasa;2021;Lethrinus_mahsena;Dragnet;8.5;mitungo;
NS0213U2;Sasa;2021;Monodactylus_argentus;Dragnet;17.5;number;
NS0213U2;Sasa;2021;Hipposcarus_harid;Dragnet;2.5;mitungo;
NS0213U2;Sasa;2021;Mullidae;Dragnet;5;mitungo;
NS0213U2;Sasa;2021;Chirocentridae;Dragnet;6.5;mitungo;
NS0213U2;Sasa;2021;Sphyraenidae;Dragnet;15;mitungo;
NS0213U2;Sasa;2021;Caesionidae;Dragnet;11.5;mitungo;
NS0213U2;Sasa;2021;Squids;Dragnet;6.5;mitungo;
NS0213U2;Sasa;2021;VIBUA_?;Dragnet;65;ndoo;
NS0213U2;Kati_kati;1995.5;TAA UZI;Dragnet;25;mitungo;
NS0213U2;Kati_kati;1995.5;Lethrinus_harak;Dragnet;;;
NS0213U2;Kati_kati;1995.5;Lethrinus_mahsena;Dragnet;;;
NS0213U2;Kati_kati;1995.5;Monodactylus_argentus;Dragnet;;;
NS0213U2;Kati_kati;1995.5;Hipposcarus_harid;Dragnet;;;
NS0213U2;Kati_kati;1995.5;Mullidae;Dragnet;;;
NS0213U2;Kati_kati;1995.5;Chirocentridae;Dragnet;;;
NS0213U2;Kati_kati;1995.5;Sphyraenidae;Dragnet;;;
NS0213U2;Kati_kati;1995.5;Caesionidae;Dragnet;;;
NS0213U2;Kati_kati;1995.5;Squids;Dragnet;;;
NS0213U2;Kati_kati;1995.5;VIBUA;Dragnet;;;
NS0213U2;Aliopanza;1970;TAA UZI;;30;mitungo;
NS0213U2;Aliopanza;1970;Lethrinus_harak;;;;
NS0213U2;Aliopanza;1970;Lethrinus_mahsena;;;;
NS0213U2;Aliopanza;1970;Monodactylus_argentus;;;;
NS0213U2;Aliopanza;1970;Hipposcarus_harid;;;;
NS0213U2;Aliopanza;1970;Mullidae;;;;
NS0213U2;Aliopanza;1970;Chirocentridae;;;;
NS0213U2;Aliopanza;1970;Sphyraenidae;;;;
NS0213U2;Aliopanza;1970;Caesionidae;;;;
NS0213U2;Aliopanza;1970;Squids;;;;
NS0213U2;Aliopanza;1970;VIBUA;;;;
NS0213U3;Sasa;2021;TAA UZI;Handline;2;mitungo;
NS0213U3;Sasa;2021;Lethrinus_borbonicus;Handline;2;mitungo;
NS0213U3;Sasa;2021;Lethrinus_harak;Handline;3;number;
NS0213U3;Sasa;2021;Squids;Handline;20;number;
